time_period,name,price_per_night,url
2025-06-26 bis 2025-06-29,Wohnung in Gais,115 CHF,https://www.airbnb.com/rooms/609429723085683555?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766547_P3tgoD4IVilyiTsH&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
2025-06-26 bis 2025-06-29,Wohnung in St. Gallen,258 CHF,https://www.airbnb.com/rooms/1280932025399837362?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766547_P3EFtXFpu3ZVXv4N&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
2025-06-26 bis 2025-06-29,Wohnung in Arbon,126 CHF,https://www.airbnb.com/rooms/1236020903801473419?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766547_P3wETdgS69P6JfQ7&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
2025-06-26 bis 2025-06-29,Zimmer in Gais,88 CHF,https://www.airbnb.com/rooms/562829776874682678?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1371354839&source_impression_id=p3_1742766547_P3V3C9ppIhVv4D6w&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
2025-06-26 bis 2025-06-29,Zimmer in Wittenbach,38 CHF,https://www.airbnb.com/rooms/1247805847843082135?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1995448200&source_impression_id=p3_1742766547_P3-R4PisfNk5pBSb&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
2025-06-26 bis 2025-06-29,Bauernhof in Herisau,587 CHF,https://www.airbnb.com/rooms/1254262698928353569?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766547_P3RqKaISCnq8AgcI&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
2025-06-26 bis 2025-06-29,Wohnung in Herisau,261 CHF,https://www.airbnb.com/rooms/52104598?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766547_P3boaGqHmApMLB_N&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
2025-06-26 bis 2025-06-29,Zimmer in Teufen,69 CHF,https://www.airbnb.com/rooms/1301376150025215370?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=2039855339&source_impression_id=p3_1742766547_P3SM7MI8nFBnkE4k&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
2025-06-26 bis 2025-06-29,Wohnung in Rorschach,202 CHF,https://www.airbnb.com/rooms/40149066?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&source_impression_id=p3_1742766547_P3Ryn6DVzvqap6G2&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
2025-06-26 bis 2025-06-29,Zimmer in Arbon,71 CHF,https://www.airbnb.com/rooms/38351697?check_in=2025-06-26&check_out=2025-06-29&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1445634619&source_impression_id=p3_1742766547_P3YjfzZBTSLX8Jkp&previous_page_section_name=1000&federated_search_id=ffede753-c80d-4515-be94-bb455943b866
